  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:00:49    416.05   3098.50
16:00:49    436.83   3253.23
16:00:49    460.48   3429.33
16:00:49    460.24   3427.55
16:00:49    461.99   3446.11
16:00:49    432.27   3213.80
16:00:49    457.57   3407.69
16:00:49    411.26   3062.84
16:00:49    382.78   2850.68
16:00:50    414.08   3083.77
16:00:50    432.98   3224.60
16:00:50    376.34   2808.26
16:00:50    404.92   3010.10
16:00:50    417.95   3118.12
16:00:50    415.28   3087.19
16:00:50    450.89   3357.93
16:00:50    462.66   3451.14
16:00:50    417.41   3103.11
16:00:50    436.61   3251.61
16:00:51    444.52   3310.51
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:00:51    427.82   3186.11
16:00:51    422.00   3142.76
16:00:51    438.73   3267.36
16:00:51    422.03   3143.01
16:00:51    441.64   3289.04
16:00:51    463.94   3455.11
16:00:51    461.96   3440.39
16:00:51    460.51   3429.57
16:00:51    460.91   3438.06
16:00:52    428.65   3186.81
16:00:52    462.06   3441.11
16:00:52    441.33   3286.74
16:00:52    453.62   3378.30
16:00:52    456.61   3400.54
16:00:52    388.67   2894.53
16:00:52    459.01   3418.41
16:00:52    463.57   3452.38
16:00:52    458.29   3413.03
16:00:52    463.20   3449.63
16:00:53    456.60   3400.48
16:00:53    438.66   3266.85
16:00:53    446.90   3328.26
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:00:53    458.67   3415.89
16:00:53    460.60   3430.26
16:00:53    461.27   3435.22
16:00:53    462.48   3444.29
16:00:53    461.34   3435.74
16:00:53    462.45   3444.02
16:00:53    458.36   3413.57
16:00:54      5.06     37.56
16:00:54      0.00      0.00
16:00:54      0.00      0.00
16:00:54      0.00      0.00
16:00:54      0.00      0.00
16:00:54      0.00      0.00
16:00:54      0.00      0.00
16:00:54      0.00      0.00
16:00:54      0.00      0.00
16:00:54      0.00      0.00
16:00:55      0.00      0.00
16:00:55      0.00      0.00
16:00:55      0.00      0.00
16:00:55      0.00      0.00
16:00:55      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:00:55      0.00      0.00
16:00:55      0.00      0.00
16:00:55      0.00      0.00
16:00:55      0.00      0.00
16:00:55      0.00      0.00
16:00:56      0.00      0.00
16:00:56      0.00      0.00
16:00:56      0.00      0.00
16:00:56      0.00      0.00
16:00:56      0.00      0.00
16:00:56      3.77      1.28
16:00:56      0.00      0.00
16:00:56      0.00      0.00
16:00:56      0.00      0.00
16:00:56      0.00      0.00
16:00:57      0.00      0.00
16:00:57      0.00      0.00
16:00:57      0.00      0.00
16:00:57      0.00      0.00
16:00:57      0.00      0.00
16:00:57      0.00      0.00
16:00:57      0.00      0.00
  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
16:00:57      0.00      0.00
16:00:57      0.00      0.00
16:00:57      0.00      0.00
16:00:58      0.00      0.00
16:00:58      0.00      0.00
16:00:58      0.00      0.00
16:00:58      0.00      0.00
16:00:58      0.00      0.00
